position_mean,rep
0,1
0,2
0,3
0,4
0,5
0,6
0,7
-0.001555996374144509,8
0,9
0,10
0,11
0,12
0,13
7.12876992439045e-4,14
0,15
0,16
0,17
-0.0020701548436225536,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
-0.003503870183626441,29
0,30
0,31
-0.024383295090968416,32
0,33
0,34
0.002129302485522789,35
0,36
0,37
0,38
0,39
0,40
0.00978480957379339,41
0,42
0,43
0,44
0,45
0,46
-0.014795962343007988,47
-0.006244250296078923,48
0,49
0,50
0.002262504863278632,51
0,52
0.00978480957379339,53
0,54
0,55
0,56
0,57
-0.02072800759175995,58
0.004516472908527317,59
0,60
0,61
0,62
0,63
-0.02885386753001342,64
0,65
0,66
-0.002156749625718732,67
0,68
0,69
0,70
0,71
0.0023429316765848996,72
-4.2186742364145696e-4,73
0.00673477472175219,74
0,75
0,76
0,77
0,78
-0.0023495330813577313,79
0,80
0,81
0,82
-0.0078064735911447265,83
0,84
0.010318522156090821,85
0,86
9.44396571976636e-4,87
0,88
0,89
-0.003471542421343342,90
0,91
0,92
0,93
0,94
0,95
0,96
-0.006895006377366622,97
0,98
0,99
0,100
0,101
0,102
0,103
0,104
0,105
0,106
0,107
-0.0036843643559052825,108
0,109
0,110
0,111
0,112
0,113
0,114
0,115
0,116
-0.003503870183626441,117
-0.002467703348746453,118
-0.0021349153227228565,119
0,120
0,121
0,122
0,123
0,124
0,125
0,126
0,127
0,128
0,129
0,130
0,131
0.0016522105379734881,132
0,133
0,134
0,135
-0.0078064735911447265,136
0,137
0,138
0,139
0,140
0,141
0,142
0,143
0,144
0,145
0,146
0,147
0,148
3.061583234690155e-4,149
0,150
0,151
0,152
-0.016942977132587994,153
0,154
0,155
0,156
0,157
-0.012200871812580645,158
0,159
0,160
0,161
0,162
-0.0062333874640954235,163
0,164
0,165
0.006477266133564472,166
0,167
0,168
4.5782360466061444e-4,169
0,170
-3.159512287771e-5,171
-0.003219365986829841,172
0,173
0,174
0,175
0,176
0,177
0,178
0,179
0,180
0,181
0,182
0,183
0,184
0,185
9.16115144625787e-4,186
0.006645775394050106,187
-0.017452013046271347,188
0,189
0,190
-0.005087489217035602,191
0,192
0,193
0,194
0,195
0,196
0,197
-0.004285470027626392,198
-7.964585562395549e-5,199
0,200
0,201
0,202
0,203
-0.0041526302489855,204
0,205
0,206
0,207
0,208
0,209
0.005576194371679362,210
0.012499485464904043,211
0,212
0,213
0.0018439065659418615,214
0,215
-0.00476843515251312,216
0,217
-0.005698176754505773,218
0,219
0.0016230204481933151,220
0,221
0,222
0,223
0,224
0,225
-0.0036843643559052825,226
0,227
0,228
0,229
0,230
0.01352806206090661,231
0,232
0,233
0,234
0,235
0,236
0,237
0,238
0,239
0,240
0,241
-0.0033836375718981266,242
0,243
0,244
0,245
0,246
0,247
0,248
0,249
0,250
0.0013096354574630002,251
0.0016522105379734881,252
0,253
0,254
0,255
0,256
0,257
0,258
0,259
0,260
0,261
0,262
0,263
-0.019305065309160152,264
0.00291356827288528,265
-0.006075644955019924,266
0,267
0,268
0,269
0,270
0,271
0,272
-0.015310503984503062,273
0,274
0,275
0,276
0,277
0,278
0,279
0,280
0,281
0,282
-0.024471147381712417,283
0,284
0,285
-0.02072800759175995,286
0,287
0,288
0,289
0,290
0.024918336533066004,291
0,292
-0.00840421738867407,293
0,294
0,295
0,296
0,297
0,298
0,299
0,300
0,301
-0.006701685335137636,302
3.061583234690155e-4,303
-0.003471542421343342,304
-0.02885386753001342,305
0,306
0,307
0.024918336533066004,308
0,309
0,310
0,311
0,312
0,313
0,314
0,315
0,316
0,317
0,318
0,319
-0.00895651845692616,320
0,321
0,322
0,323
0,324
0,325
0,326
0,327
-0.01736812856021657,328
-0.01602297995033415,329
-0.01124857891001921,330
0,331
0,332
0,333
0,334
-0.006244250296078923,335
0,336
0.004516472908527317,337
0,338
0,339
0,340
0,341
0,342
0,343
0,344
0,345
0,346
-0.007228670337967223,347
0,348
0,349
0,350
0,351
-0.016942977132587994,352
0,353
0,354
0,355
0,356
0,357
0,358
0,359
0,360
0,361
0,362
0,363
0,364
0,365
0,366
0,367
0,368
0,369
0,370
0,371
0,372
0,373
0,374
0,375
0,376
0,377
0,378
0,379
-0.001913396651275581,380
0,381
-0.006326334720934969,382
-0.017452013046271347,383
0,384
0,385
-0.0047068710229016385,386
0,387
0,388
0,389
0,390
0,391
0,392
0,393
0,394
0,395
1.33202377755843e-4,396
0,397
-0.006244250296078923,398
-0.017875900157328106,399
0,400
0,401
0,402
0,403
0,404
0,405
0,406
0,407
0,408
0,409
0,410
0,411
0,412
0,413
0,414
0,415
-0.002467703348746453,416
0,417
0.026900334571837704,418
0,419
0,420
0,421
0,422
0,423
0,424
-0.003471542421343342,425
0.023528209676427794,426
0,427
-0.01124857891001921,428
-0.007636619906858601,429
0,430
-0.0033836375718981266,431
0,432
0,433
0,434
0,435
-0.001037915001157607,436
0,437
-0.002467703348746453,438
-0.0023495330813577313,439
0,440
0,441
0,442
0,443
0,444
4.730362587298395e-4,445
0,446
0.001573086127049303,447
0,448
0,449
0,450
0,451
0,452
-4.2186742364145696e-4,453
0,454
0,455
0,456
0,457
0,458
0,459
0,460
4.5782360466061444e-4,461
0,462
0,463
7.12876992439045e-4,464
0,465
0,466
0,467
0,468
0,469
0,470
0,471
0,472
0,473
-0.0036843643559052825,474
0,475
0,476
0,477
0,478
0,479
0,480
0,481
0,482
0,483
0,484
0,485
0.003466234533170981,486
0,487
0,488
0,489
-0.007464427459267657,490
0,491
0,492
0,493
0,494
0,495
0,496
0,497
0,498
0,499
0,500
0,501
0,502
0,503
0,504
0,505
0,506
0,507
0,508
-0.021266097435680226,509
0,510
-0.012091943618771119,511
0,512
0,513
-0.006478005614077911,514
0,515
-0.0021349153227228565,516
0,517
0,518
0,519
-0.0047068710229016385,520
0,521
0,522
0,523
0,524
0,525
0,526
0,527
0,528
0,529
0,530
0,531
0,532
0,533
0,534
0,535
0,536
0,537
0,538
0,539
0,540
0,541
-0.019395638534486573,542
0,543
0,544
0,545
0,546
0,547
0,548
0,549
-0.00840421738867407,550
0,551
0,552
-0.006701685335137636,553
0,554
0,555
0.0013096354574630002,556
0,557
0,558
0,559
0.00673477472175219,560
0,561
0,562
0,563
0,564
0,565
0,566
-0.0047068710229016385,567
9.44396571976636e-4,568
0,569
0,570
0,571
0,572
0,573
0,574
0,575
0,576
0,577
0.026900334571837704,578
0,579
0,580
0,581
0,582
0,583
-0.008466096946154824,584
0,585
0,586
0.0023341052665111417,587
0,588
0,589
0,590
0,591
0,592
0,593
-0.02072800759175995,594
0.004459417731803155,595
0.005251141233690702,596
0,597
-0.006701685335137636,598
-0.0020762110384194574,599
0,600
-0.024439552258834707,601
0,602
0.0016230204481933151,603
0,604
-0.024383295090968416,605
0,606
0,607
0,608
0,609
0,610
0,611
-0.005165798419826686,612
0,613
0,614
0,615
0,616
